"perspectives","archetypeInstanceId","precomputedtypename","name","status","lastModifiedDate","createdDate","adoptionUUID","bufferBack","bufferBottom","bufferFront","bufferLeft","bufferRight","bufferTop","convertedUnit","depth","deviceName","dimensionPrecision","dimensionUnit","height","width","portNumber","positionsContained","positionsUsed","role","tmf639_dataSource_ingestion_uuid","tmf_lifecycleState"
"[""Plan"", ""Live/Plan merge""]","1415","FDP 48 Port 5RU","CD LIVINGSTON FDP TEST DEVICE","Planned","1693814604898","1693814604452","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254878653647931036","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","CD LIVINGSTON FDP TEST DEVICE","2","inch","8.76","19.0","48","0","5","","c62a9be1-4938-4db1-b686-a8040669288f",""
"[""Plan"", ""Operational"", ""Live/Plan merge"", ""TMF 639""]","1511","Vent Unit 3 RU","BBT-VENT-1","Planned","1693815119595","1693815119595","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254895627358685211","","","","","","","","","BBT-VENT-1","","","","","0","0","3","[]","254895627358685211",""
"[""Plan"", ""Live/Plan merge""]","1415","FDP 48 Port 5RU","CD AMITY FDP TEST DEVICE","Planned","1693814602157","1693814601113","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254902636745311797","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","CD AMITY FDP TEST DEVICE","2","inch","8.76","19.0","48","0","5","","872d1b68-4d9b-45dc-85bb-f89454501ac9",""
"[""Plan"", ""Live/Plan merge""]","1415","FDP 48 Port 5RU","CD ALBANY FDP TEST DEVICE","Planned","1693814608791","1693814608309","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254902636745312008","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","CD ALBANY FDP TEST DEVICE","2","inch","8.76","19.0","48","0","5","","9db00c78-a7d0-4ba3-9005-3f5c0fe84e05",""
"[""Plan"", ""Live/Plan merge""]","1415","FDP 48 Port 5RU","CD AMANDA FDP TEST DEVICE","Planned","1693814612262","1693814611836","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254902705464788849","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","CD AMANDA FDP TEST DEVICE","2","inch","8.76","19.0","48","0","5","","a694db53-e09e-4a25-9485-a7a50ed154a9",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","P1","Planned","1694061002285","1694060835824","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254903461379034415","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","P1","2","inch","3.504","17.42","0","1","2","[""Ethernet""]","c1f449cf-e317-4535-ab7e-378f95781068",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","P3","Planned","1694063635756","1694063475250","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254903461379034512","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","P3","2","inch","3.504","17.42","0","1","2","[""Ethernet""]","32d7fce3-6bde-4d6f-b03e-a68dc04d509e",""
"[""Plan"", ""Non-plan"", ""Live/Plan merge""]","1143","ASR 9001","P2","Planned","1694061002284","1694060961612","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254905041926999393","0.0","0.0","0.0","0.0","0.0","0.0","inch","18.5","P2","2","inch","3.504","17.42","0","1","2","[""Ethernet""]","396510ba-609c-4f7f-98d4-8029f53e141d",""
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_2_52086","Planned","1694172218102","1694172217283","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254908753045373784","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","7444fda0-aef7-4a1a-9c01-98b3d980b30c","Active"
"[""Live/Plan merge"", ""TMF 639""]","1415","FDP 48 Port 5RU","TMF639_Ingestion_Autotest_Device_1_23035","Planned","1694172614568","1694172614006","1E70169E3B7DE4F34CBC45DAACC2C7B145E4439EA2647BD20E3612515E841345_device_254908753045374126","0.0","0.0","0.0","0.0","0.0","0.0","inch","30","TEST_FDP 48 5RU","2","inch","8.76","19.0","48","0","5","","12d8dc36-6c46-4c8b-81c6-cb2ad9b28cfc","Active"
