LOCATION_ID,NAME,NAME_CODE,LOCATIONTYPE_ID,SOURCE_LOCATIONTYPE_NAME
1871,EAST PETERSBURG,,1006,CITY
1872,LANCASTER,,1006,CITY
1873,WATTSBURG,,1006,CITY
1874,EAST WATERFORD,,1006,CITY
1875,ELIZABETHTOWN,,1006,CITY
1876,ELIZABETHVILLE,,1006,CITY
1877,FAIRFIELD (ADAMS),,1006,CITY
1878,GETTYSBURG,,1006,CITY
1879,FAWN GROVE,,1006,CITY
1880,GLEN ROCK,,1006,CITY
1881,FRYSTOWN,,1006,CITY
1882,JONESTOWN (LEBANON),,1006,CITY
1883,FAYETTEVILLE,,1006,CITY
1884,COLUMBIA,,1006,CITY
1885,CAMP HILL,,1006,CITY
1886,MATAMORAS (PIKE),,1006,CITY
1887,HENSEL,,1006,CITY
1888,QUARRYVILLE,,1006,CITY
1889,CAMP HILL (CUMBERLAND),,1006,CITY
1890,ALFARATA,,1006,CITY
1891,LEWISTOWN,,1006,CITY
1892,EDINBURG,,1006,CITY
1893,AIRVILLE,,1006,CITY
1894,DELTA,,1006,CITY
1895,BERNVILLE,,1006,CITY
1896,MYERSTOWN,,1006,CITY
1897,BIGLERVILLE,,1006,CITY
1898,DILLSBURG,,1006,CITY
1899,GENESEE,,1006,CITY
1900,DENVER,,1006,CITY
1901,HERSHEY,,1006,CITY
1902,HUMMELSTOWN,,1006,CITY
1903,ICKESBURG,,1006,CITY
1904,EAST BERLIN (ADAMS),,1006,CITY
1905,MILLPORT,,1006,CITY
1906,ENOLA,,1006,CITY
1907,LANDISVILLE,,1006,CITY
1908,LEOLA,,1006,CITY
1909,LITTLESTOWN,,1006,CITY
1910,HANOVER (YORK),,1006,CITY
1911,LIVERPOOL,,1006,CITY
1912,LOWER PAXTON,,1006,CITY
1913,LYKENS,,1006,CITY
1914,FISHING CREEK,,1006,CITY
1915,MANHEIM,,1006,CITY
1916,MARION,,1006,CITY
1917,MECHANICSBURG,,1006,CITY
1918,MCCONNELLSBURG,,1006,CITY
1919,MCALISTERVILLE,,1006,CITY
1920,MIDDLETOWN,,1006,CITY
1921,GAP,,1006,CITY
1922,MOUNT HOLLY SPRINGS,,1006,CITY
1923,MILLERSVILLE,,1006,CITY
1924,MILLERSBURG,,1006,CITY
1925,GREENCASTLE,,1006,CITY
1926,GRATZ,,1006,CITY
1927,QUAKER LAKE,,1006,CITY
1928,MARIETTA,,1006,CITY
1929,MOUNT GRETNA,,1006,CITY
1930,MOUNT JOY,,1006,CITY
1931,HALIFAX,,1006,CITY
1932,MCVEYTOWN,,1006,CITY
1933,MARYSVILLE,,1006,CITY
1934,NEW HOLLAND,,1006,CITY
1935,NEW OXFORD,,1006,CITY
1936,NEWPORT,,1006,CITY
1937,ORBISONIA,,1006,CITY
1938,PORT ROYAL,,1006,CITY
1939,RICHFIELD,,1006,CITY
1940,REEDSVILLE,,1006,CITY
1941,ROBESONIA,,1006,CITY
1942,RAWLINSVILLE,,1006,CITY
1943,SCHAEFFERSTOWN,,1006,CITY
1944,SHADE GAP,,1006,CITY
1945,SHIPPENSBURG,,1006,CITY
1946,STEELTON,,1006,CITY
1947,SPRING GROVE,,1006,CITY
1948,STRASBURG,,1006,CITY
1949,SAINT THOMAS,,1006,CITY
1950,STEWARTSTOWN,,1006,CITY
1951,THREE SPRINGS,,1006,CITY
1952,THOMPSONTOWN (JUNIATA),,1006,CITY
1953,TERRE HILL,,1006,CITY
1954,TREMONT,,1006,CITY
1955,VALLEY VIEW,,1006,CITY
1956,WILLOW STREET,,1006,CITY
1957,WOMELSDORF,,1006,CITY
1958,BLAIN,,1006,CITY
1959,INTERCOURSE,,1006,CITY
1960,YORK SPRINGS,,1006,CITY
1961,AUDUBON,,1006,CITY
1962,ALLENTOWN,,1006,CITY
1963,SCRANTON,,1006,CITY
1964,KIRKWOOD,,1006,CITY
1965,LEBANON,,1006,CITY
1966,WEST NORRITON,,1006,CITY
1967,MOUNTAINVILLE,,1006,CITY
1968,XXX,,1006,CITY
1969,AMBLER,,1006,CITY
1970,ARDMORE,,1006,CITY
1971,AVONDALE  CHESTER,,1006,CITY
1972,KENNETT SQUARE,,1006,CITY
1973,BATH,,1006,CITY
1974,NORTHAMPTON,,1006,CITY
1975,BALA-CYNWYD,,1006,CITY
1976,BRIDGETON,,1006,CITY
1977,BETHLEHEM,,1006,CITY
1978,BALLY,,1006,CITY
1979,BIRDSBORO,,1006,CITY
1980,BEDMINSTER,,1006,CITY
1981,DOYLESTOWN,,1006,CITY
1982,BANGOR,,1006,CITY
1983,BOYERTOWN,,1006,CITY
1984,BRISTOL,,1006,CITY
1985,BRYN MAWR,,1006,CITY
1986,BUSHKILL (NORTHAMPTON),,1006,CITY
1987,BETHAYRES,,1006,CITY
1988,BOWMANSTOWN,,1006,CITY
1989,PALMERTON (CARBON),,1006,CITY
1990,COLLEGEVILLE,,1006,CITY
1991,CHESTER,,1006,CITY
1992,LOYSVILLE,,1006,CITY
1993,CHESTER HEIGHTS,,1006,CITY
1994,CHURCHVILLE,,1006,CITY
1995,CHURCHVILLE (BUCKS),,1006,CITY
1996,CENTER POINT,,1006,CITY
1997,TROOPER,,1006,CITY
1998,CONSHOHOCKEN,,1006,CITY
1999,COOPERSBURG,,1006,CITY
2000,BENSALEM,,1006,CITY
2001,CARVERSVILLE,,1006,CITY
2002,CHESTER SPRINGS,,1006,CITY
2003,POTTSTOWN,,1006,CITY
2004,CATASAUQUA,,1006,CITY
2005,COATESVILLE,,1006,CITY
2006,DOUGLASSVILLE,,1006,CITY
2007,DOWNINGTOWN,,1006,CITY
2008,EAGLE,,1006,CITY
2009,EDDINGTON,,1006,CITY
2010,EMMAUS,,1006,CITY
2011,BUCKS COUNTY,,1006,CITY
2012,EASTON,,1006,CITY
2013,EXTON,,1006,CITY
2014,FORKS,,1006,CITY
1440,GALESVILLE,,1006,CITY
1441,GLENWOOD,,1006,CITY
1442,HAVRE DE GRACE,,1006,CITY
1443,HAMPSTEAD,,1006,CITY
1444,WESTMINSTER,,1006,CITY
1445,HANOVER (ANNE ARUNDEL),,1006,CITY
1446,JARRETTSVILLE,,1006,CITY
1447,MANOR,,1006,CITY
1448,MAYO,,1006,CITY
1449,MONROVIA,,1006,CITY
1450,MUTUAL,,1006,CITY
1451,NORTH BEACH,,1006,CITY
1452,NORTH POINT,,1006,CITY
1453,NORTH EAST,,1006,CITY
1454,NEW WINDSOR,,1006,CITY
1455,OWINGS MILLS,,1006,CITY
1456,PAROLE,,1006,CITY
1457,PARKTON,,1006,CITY
1458,PARKVILLE,,1006,CITY
1459,PRINCE FREDERICK,,1006,CITY
1460,PERRY HALL,,1006,CITY
1461,RANDALLSTOWN,,1006,CITY
1462,RISING SUN,,1006,CITY
1463,REISTERSTOWN,,1006,CITY
1464,SOLOMONS,,1006,CITY
1465,SILVER RUN,,1006,CITY
1466,SAINT MARGARETS,,1006,CITY
1467,SEVERNA PARK,,1006,CITY
1468,SYKESVILLE,,1006,CITY
1469,TANEYTOWN,,1006,CITY
1470,TOWSON,,1006,CITY
1471,UNION BRIDGE,,1006,CITY
1472,WOODLAWN,,1006,CITY
1473,WHITE MARSH,,1006,CITY
1474,ACCIDENT,,1006,CITY
1475,CUMBERLAND,,1006,CITY
1476,BUCKEYSTOWN,,1006,CITY
1477,BRADDOCK HEIGHTS,,1006,CITY
1478,BRUNSWICK,,1006,CITY
1479,BITTINGER,,1006,CITY
1480,CLEAR SPRING,,1006,CITY
1481,HAGERSTOWN,,1006,CITY
1482,CRESAPTOWN,,1006,CITY
